,Date,year,Month,Weak,Count
30433,2014-08-30,2014.0,8.0,Saturday,1
15065,2014-08-30,2014.0,8.0,Saturday,1
33965,2014-08-30,2014.0,8.0,Saturday,1
1161,2014-08-31,2014.0,8.0,Sunday,1
24592,2014-08-31,2014.0,8.0,Sunday,1
41468,2014-09-02,2014.0,9.0,Tuesday,1
5030,2014-09-02,2014.0,9.0,Tuesday,1
29318,2014-09-03,2014.0,9.0,Wednesday,1
36182,2014-09-04,2014.0,9.0,Thursday,1
11485,2014-09-04,2014.0,9.0,Thursday,1
10763,2014-09-05,2014.0,9.0,Friday,1
32467,2014-09-05,2014.0,9.0,Friday,1
19892,2014-09-06,2014.0,9.0,Saturday,1
22589,2014-09-06,2014.0,9.0,Saturday,1
16924,2014-09-06,2014.0,9.0,Saturday,1
12141,2014-09-09,2014.0,9.0,Tuesday,1
26577,2014-09-09,2014.0,9.0,Tuesday,1
30017,2014-09-10,2014.0,9.0,Wednesday,1
34995,2014-09-11,2014.0,9.0,Thursday,1
11229,2014-09-13,2014.0,9.0,Saturday,1
45105,2014-09-13,2014.0,9.0,Saturday,1
11425,2014-09-15,2014.0,9.0,Monday,1
41720,2014-09-15,2014.0,9.0,Monday,1
31044,2014-09-15,2014.0,9.0,Monday,1
17392,2014-09-15,2014.0,9.0,Monday,1
16149,2014-09-20,2014.0,9.0,Saturday,1
30215,2014-09-23,2014.0,9.0,Tuesday,1
19399,2014-09-26,2014.0,9.0,Friday,1
2680,2014-09-26,2014.0,9.0,Friday,1
36903,2014-09-27,2014.0,9.0,Saturday,1
3305,2014-09-27,2014.0,9.0,Saturday,1
11199,2014-09-27,2014.0,9.0,Saturday,1
29837,2014-09-28,2014.0,9.0,Sunday,1
29409,2014-09-28,2014.0,9.0,Sunday,1
35431,2014-09-28,2014.0,9.0,Sunday,1
26237,2014-09-29,2014.0,9.0,Monday,1
46243,2014-09-29,2014.0,9.0,Monday,1
30078,2014-10-01,2014.0,10.0,Wednesday,1
33993,2014-10-01,2014.0,10.0,Wednesday,1
7200,2014-10-01,2014.0,10.0,Wednesday,1
31198,2014-10-02,2014.0,10.0,Thursday,1
41662,2014-10-03,2014.0,10.0,Friday,1
16991,2014-10-03,2014.0,10.0,Friday,1
43316,2014-10-03,2014.0,10.0,Friday,1
9528,2014-10-04,2014.0,10.0,Saturday,1
38337,2014-10-04,2014.0,10.0,Saturday,1
19162,2014-10-04,2014.0,10.0,Saturday,1
18892,2014-10-04,2014.0,10.0,Saturday,1
22710,2014-10-04,2014.0,10.0,Saturday,1
5133,2014-10-05,2014.0,10.0,Sunday,1
46098,2014-10-05,2014.0,10.0,Sunday,1
22256,2014-10-06,2014.0,10.0,Monday,1
24832,2014-10-07,2014.0,10.0,Tuesday,1
27871,2014-10-08,2014.0,10.0,Wednesday,1
7937,2014-10-08,2014.0,10.0,Wednesday,1
26023,2014-10-08,2014.0,10.0,Wednesday,1
27429,2014-10-08,2014.0,10.0,Wednesday,1
13966,2014-10-08,2014.0,10.0,Wednesday,1
13925,2014-10-09,2014.0,10.0,Thursday,1
32302,2014-10-09,2014.0,10.0,Thursday,1
9842,2014-10-10,2014.0,10.0,Friday,1
12953,2014-10-10,2014.0,10.0,Friday,1
14647,2014-10-11,2014.0,10.0,Saturday,1
21277,2014-10-12,2014.0,10.0,Sunday,1
18770,2014-10-13,2014.0,10.0,Monday,1
14077,2014-10-13,2014.0,10.0,Monday,1
14441,2014-10-14,2014.0,10.0,Tuesday,1
42724,2014-10-14,2014.0,10.0,Tuesday,1
18002,2014-10-14,2014.0,10.0,Tuesday,1
19425,2014-10-14,2014.0,10.0,Tuesday,1
45877,2014-10-14,2014.0,10.0,Tuesday,1
16468,2014-10-15,2014.0,10.0,Wednesday,1
44485,2014-10-15,2014.0,10.0,Wednesday,1
13984,2014-10-15,2014.0,10.0,Wednesday,1
10803,2014-10-16,2014.0,10.0,Thursday,1
18067,2014-10-16,2014.0,10.0,Thursday,1
28534,2014-10-17,2014.0,10.0,Friday,1
29647,2014-10-17,2014.0,10.0,Friday,1
22119,2014-10-17,2014.0,10.0,Friday,1
18924,2014-10-18,2014.0,10.0,Saturday,1
37597,2014-10-18,2014.0,10.0,Saturday,1
38535,2014-10-18,2014.0,10.0,Saturday,1
11631,2014-10-18,2014.0,10.0,Saturday,1
15011,2014-10-18,2014.0,10.0,Saturday,1
31539,2014-10-18,2014.0,10.0,Saturday,1
34780,2014-10-20,2014.0,10.0,Monday,1
18753,2014-10-20,2014.0,10.0,Monday,1
37000,2014-10-20,2014.0,10.0,Monday,1
15391,2014-10-21,2014.0,10.0,Tuesday,1
21032,2014-10-22,2014.0,10.0,Wednesday,1
38518,2014-10-22,2014.0,10.0,Wednesday,1
20471,2014-10-22,2014.0,10.0,Wednesday,1
1894,2014-10-22,2014.0,10.0,Wednesday,1
41776,2014-10-23,2014.0,10.0,Thursday,1
8013,2014-10-23,2014.0,10.0,Thursday,1
4758,2014-10-24,2014.0,10.0,Friday,1
11214,2014-10-24,2014.0,10.0,Friday,1
14913,2014-10-25,2014.0,10.0,Saturday,1
27908,2014-10-25,2014.0,10.0,Saturday,1
21476,2014-10-25,2014.0,10.0,Saturday,1
20951,2014-10-25,2014.0,10.0,Saturday,1
16454,2014-10-25,2014.0,10.0,Saturday,1
45927,2014-10-25,2014.0,10.0,Saturday,1
13911,2014-10-25,2014.0,10.0,Saturday,1
43495,2014-10-25,2014.0,10.0,Saturday,1
2232,2014-10-26,2014.0,10.0,Sunday,1
44908,2014-10-26,2014.0,10.0,Sunday,1
12787,2014-10-26,2014.0,10.0,Sunday,1
26382,2014-10-26,2014.0,10.0,Sunday,1
27461,2014-10-27,2014.0,10.0,Monday,1
4361,2014-10-28,2014.0,10.0,Tuesday,1
31497,2014-10-28,2014.0,10.0,Tuesday,1
45030,2014-10-28,2014.0,10.0,Tuesday,1
16562,2014-10-28,2014.0,10.0,Tuesday,1
10030,2014-10-29,2014.0,10.0,Wednesday,1
8967,2014-10-30,2014.0,10.0,Thursday,1
26774,2014-10-30,2014.0,10.0,Thursday,1
1454,2014-10-30,2014.0,10.0,Thursday,1
10843,2014-10-31,2014.0,10.0,Friday,1
38217,2014-10-31,2014.0,10.0,Friday,1
3812,2014-10-31,2014.0,10.0,Friday,1
9354,2014-11-01,2014.0,11.0,Saturday,1
14121,2014-11-01,2014.0,11.0,Saturday,1
18642,2014-11-01,2014.0,11.0,Saturday,1
35191,2014-11-01,2014.0,11.0,Saturday,1
26733,2014-11-01,2014.0,11.0,Saturday,1
13929,2014-11-01,2014.0,11.0,Saturday,1
19200,2014-11-01,2014.0,11.0,Saturday,1
25787,2014-11-01,2014.0,11.0,Saturday,1
45536,2014-11-01,2014.0,11.0,Saturday,1
43545,2014-11-01,2014.0,11.0,Saturday,1
31122,2014-11-01,2014.0,11.0,Saturday,1
28000,2014-11-01,2014.0,11.0,Saturday,1
19687,2014-11-01,2014.0,11.0,Saturday,1
15209,2014-11-01,2014.0,11.0,Saturday,1
1226,2014-11-01,2014.0,11.0,Saturday,1
23494,2014-11-01,2014.0,11.0,Saturday,1
40518,2014-11-01,2014.0,11.0,Saturday,1
26369,2014-11-02,2014.0,11.0,Sunday,1
24346,2014-11-02,2014.0,11.0,Sunday,1
28613,2014-11-02,2014.0,11.0,Sunday,1
8930,2014-11-02,2014.0,11.0,Sunday,1
41917,2014-11-02,2014.0,11.0,Sunday,1
34083,2014-11-02,2014.0,11.0,Sunday,1
21087,2014-11-03,2014.0,11.0,Monday,1
8410,2014-11-03,2014.0,11.0,Monday,1
44804,2014-11-03,2014.0,11.0,Monday,1
6351,2014-11-03,2014.0,11.0,Monday,1
4513,2014-11-04,2014.0,11.0,Tuesday,1
23746,2014-11-04,2014.0,11.0,Tuesday,1
36427,2014-11-04,2014.0,11.0,Tuesday,1
35883,2014-11-04,2014.0,11.0,Tuesday,1
32735,2014-11-04,2014.0,11.0,Tuesday,1
34080,2014-11-04,2014.0,11.0,Tuesday,1
43138,2014-11-04,2014.0,11.0,Tuesday,1
30338,2014-11-05,2014.0,11.0,Wednesday,1
197,2014-11-06,2014.0,11.0,Thursday,1
7953,2014-11-06,2014.0,11.0,Thursday,1
