,Date,year,Month,Weak,Count
20690,2014-09-15,2014,9,Monday,4
27767,2014-09-15,2014,9,Monday,4
11642,2014-09-15,2014,9,Monday,4
10791,2014-09-20,2014,9,Saturday,1
20141,2014-09-23,2014,9,Tuesday,1
1800,2014-09-26,2014,9,Friday,2
12942,2014-09-26,2014,9,Friday,2
7508,2014-09-27,2014,9,Saturday,3
2227,2014-09-27,2014,9,Saturday,3
24598,2014-09-27,2014,9,Saturday,3
19617,2014-09-28,2014,9,Sunday,3
19893,2014-09-28,2014,9,Sunday,3
23626,2014-09-28,2014,9,Sunday,3
17491,2014-09-29,2014,9,Monday,2
30819,2014-09-29,2014,9,Monday,2
20055,2014-10-01,2014,10,Wednesday,3
22684,2014-10-01,2014,10,Wednesday,3
4835,2014-10-01,2014,10,Wednesday,3
20803,2014-10-02,2014,10,Thursday,1
27726,2014-10-03,2014,10,Friday,3
28849,2014-10-03,2014,10,Friday,3
11369,2014-10-03,2014,10,Friday,3
15190,2014-10-04,2014,10,Saturday,5
25512,2014-10-04,2014,10,Saturday,5
12789,2014-10-04,2014,10,Saturday,5
6403,2014-10-04,2014,10,Saturday,5
12607,2014-10-04,2014,10,Saturday,5
3444,2014-10-05,2014,10,Sunday,2
30716,2014-10-05,2014,10,Sunday,2
14866,2014-10-06,2014,10,Monday,1
16592,2014-10-07,2014,10,Tuesday,1
18309,2014-10-08,2014,10,Wednesday,5
17361,2014-10-08,2014,10,Wednesday,5
9325,2014-10-08,2014,10,Wednesday,5
5319,2014-10-08,2014,10,Wednesday,5
18608,2014-10-08,2014,10,Wednesday,5
9298,2014-10-09,2014,10,Thursday,2
21557,2014-10-09,2014,10,Thursday,2
6609,2014-10-10,2014,10,Friday,2
8629,2014-10-10,2014,10,Friday,2
9780,2014-10-11,2014,10,Saturday,1
14221,2014-10-12,2014,10,Sunday,1
12531,2014-10-13,2014,10,Monday,2
9401,2014-10-13,2014,10,Monday,2
12019,2014-10-14,2014,10,Tuesday,5
9647,2014-10-14,2014,10,Tuesday,5
12958,2014-10-14,2014,10,Tuesday,5
30559,2014-10-14,2014,10,Tuesday,5
28441,2014-10-14,2014,10,Tuesday,5
11013,2014-10-15,2014,10,Wednesday,3
9337,2014-10-15,2014,10,Wednesday,3
29631,2014-10-15,2014,10,Wednesday,3
12061,2014-10-16,2014,10,Thursday,2
7247,2014-10-16,2014,10,Thursday,2
19772,2014-10-17,2014,10,Friday,3
14777,2014-10-17,2014,10,Friday,3
19036,2014-10-17,2014,10,Friday,3
12628,2014-10-18,2014,10,Saturday,6
25049,2014-10-18,2014,10,Saturday,6
21031,2014-10-18,2014,10,Saturday,6
10025,2014-10-18,2014,10,Saturday,6
25629,2014-10-18,2014,10,Saturday,6
7789,2014-10-18,2014,10,Saturday,6
24664,2014-10-20,2014,10,Monday,3
23203,2014-10-20,2014,10,Monday,3
12523,2014-10-20,2014,10,Monday,3
10294,2014-10-21,2014,10,Tuesday,1
13660,2014-10-22,2014,10,Wednesday,4
25618,2014-10-22,2014,10,Wednesday,4
14042,2014-10-22,2014,10,Wednesday,4
1266,2014-10-22,2014,10,Wednesday,4
27807,2014-10-23,2014,10,Thursday,2
5378,2014-10-23,2014,10,Thursday,2
3198,2014-10-24,2014,10,Friday,2
7519,2014-10-24,2014,10,Friday,2
14355,2014-10-25,2014,10,Saturday,8
11000,2014-10-25,2014,10,Saturday,8
9963,2014-10-25,2014,10,Saturday,8
28968,2014-10-25,2014,10,Saturday,8
18634,2014-10-25,2014,10,Saturday,8
9286,2014-10-25,2014,10,Saturday,8
30594,2014-10-25,2014,10,Saturday,8
13986,2014-10-25,2014,10,Saturday,8
17592,2014-10-26,2014,10,Sunday,4
1490,2014-10-26,2014,10,Sunday,4
29897,2014-10-26,2014,10,Sunday,4
8519,2014-10-26,2014,10,Sunday,4
18331,2014-10-27,2014,10,Monday,1
29977,2014-10-28,2014,10,Tuesday,4
21003,2014-10-28,2014,10,Tuesday,4
2927,2014-10-28,2014,10,Tuesday,4
11073,2014-10-28,2014,10,Tuesday,4
6726,2014-10-29,2014,10,Wednesday,1
17851,2014-10-30,2014,10,Thursday,3
969,2014-10-30,2014,10,Thursday,3
6008,2014-10-30,2014,10,Thursday,3
2575,2014-10-31,2014,10,Friday,3
7276,2014-10-31,2014,10,Friday,3
25433,2014-10-31,2014,10,Friday,3
20749,2014-11-01,2014,11,Saturday,17
12811,2014-11-01,2014,11,Saturday,17
15697,2014-11-01,2014,11,Saturday,17
9301,2014-11-01,2014,11,Saturday,17
10163,2014-11-01,2014,11,Saturday,17
23478,2014-11-01,2014,11,Saturday,17
29004,2014-11-01,2014,11,Saturday,17
9431,2014-11-01,2014,11,Saturday,17
12435,2014-11-01,2014,11,Saturday,17
18698,2014-11-01,2014,11,Saturday,17
6283,2014-11-01,2014,11,Saturday,17
17821,2014-11-01,2014,11,Saturday,17
820,2014-11-01,2014,11,Saturday,17
26951,2014-11-01,2014,11,Saturday,17
30318,2014-11-01,2014,11,Saturday,17
17195,2014-11-01,2014,11,Saturday,17
13140,2014-11-01,2014,11,Saturday,17
22749,2014-11-02,2014,11,Sunday,6
27893,2014-11-02,2014,11,Sunday,6
16258,2014-11-02,2014,11,Sunday,6
17582,2014-11-02,2014,11,Sunday,6
5985,2014-11-02,2014,11,Sunday,6
19089,2014-11-02,2014,11,Sunday,6
14082,2014-11-03,2014,11,Monday,4
4262,2014-11-03,2014,11,Monday,4
5622,2014-11-03,2014,11,Monday,4
29828,2014-11-03,2014,11,Monday,4
22746,2014-11-04,2014,11,Tuesday,7
21845,2014-11-04,2014,11,Tuesday,7
28727,2014-11-04,2014,11,Tuesday,7
3033,2014-11-04,2014,11,Tuesday,7
15858,2014-11-04,2014,11,Tuesday,7
23934,2014-11-04,2014,11,Tuesday,7
24289,2014-11-04,2014,11,Tuesday,7
20219,2014-11-05,2014,11,Wednesday,1
25928,2014-11-06,2014,11,Thursday,6
5333,2014-11-06,2014,11,Thursday,6
15017,2014-11-06,2014,11,Thursday,6
130,2014-11-06,2014,11,Thursday,6
21092,2014-11-06,2014,11,Thursday,6
15937,2014-11-06,2014,11,Thursday,6
4070,2014-11-07,2014,11,Friday,6
29178,2014-11-07,2014,11,Friday,6
15476,2014-11-07,2014,11,Friday,6
26695,2014-11-07,2014,11,Friday,6
10016,2014-11-07,2014,11,Friday,6
1179,2014-11-07,2014,11,Friday,6
23314,2014-11-08,2014,11,Saturday,6
12440,2014-11-08,2014,11,Saturday,6
28926,2014-11-08,2014,11,Saturday,6
15878,2014-11-08,2014,11,Saturday,6
18903,2014-11-08,2014,11,Saturday,6
1319,2014-11-08,2014,11,Saturday,6
27163,2014-11-09,2014,11,Sunday,10
11420,2014-11-09,2014,11,Sunday,10
28017,2014-11-09,2014,11,Sunday,10
1329,2014-11-09,2014,11,Sunday,10
5416,2014-11-09,2014,11,Sunday,10
28032,2014-11-09,2014,11,Sunday,10
26489,2014-11-09,2014,11,Sunday,10
27632,2014-11-09,2014,11,Sunday,10
26890,2014-11-09,2014,11,Sunday,10
13448,2014-11-09,2014,11,Sunday,10
17904,2014-11-10,2014,11,Monday,5
