,Date,year,Month,Weak,Count
1607,2016-10-15,2016,10,Saturday,1
1608,2016-11-01,2016,11,Tuesday,1
1610,2015-08-18,2015,8,Tuesday,1
1613,2015-07-18,2015,7,Saturday,1
1614,2014-12-03,2014,12,Wednesday,1
1616,2018-04-28,2018,4,Saturday,1
1617,2015-08-18,2015,8,Tuesday,1
1618,2015-12-15,2015,12,Tuesday,1
1619,2017-05-14,2017,5,Sunday,1
1620,2015-09-22,2015,9,Tuesday,1
1621,2017-11-01,2017,11,Wednesday,1
1622,2018-05-13,2018,5,Sunday,1
1623,2016-06-08,2016,6,Wednesday,1
1624,2017-04-01,2017,4,Saturday,1
1625,2017-06-09,2017,6,Friday,1
1628,2016-07-01,2016,7,Friday,1
1629,2016-07-28,2016,7,Thursday,1
1631,2014-12-06,2014,12,Saturday,1
1632,2016-10-22,2016,10,Saturday,1
1634,2018-05-13,2018,5,Sunday,1
1635,2017-10-28,2017,10,Saturday,1
1636,2016-01-07,2016,1,Thursday,1
1637,2016-07-21,2016,7,Thursday,1
1638,2017-09-04,2017,9,Monday,1
1639,2016-06-10,2016,6,Friday,1
1641,2015-07-27,2015,7,Monday,1
1642,2016-09-04,2016,9,Sunday,1
1643,2015-09-17,2015,9,Thursday,1
1647,2015-07-02,2015,7,Thursday,1
1648,2018-04-07,2018,4,Saturday,1
1649,2018-04-21,2018,4,Saturday,1
1650,2016-11-27,2016,11,Sunday,1
1651,2016-06-27,2016,6,Monday,1
1653,2015-09-30,2015,9,Wednesday,1
1655,2017-06-01,2017,6,Thursday,1
1657,2017-07-17,2017,7,Monday,1
1658,2016-03-17,2016,3,Thursday,1
1659,2017-01-08,2017,1,Sunday,1
1661,2015-11-03,2015,11,Tuesday,1
1663,2015-01-04,2015,1,Sunday,1
1664,2014-11-24,2014,11,Monday,1
1665,2016-11-05,2016,11,Saturday,1
1666,2018-06-08,2018,6,Friday,1
1670,2018-05-14,2018,5,Monday,1
1671,2016-02-09,2016,2,Tuesday,1
1672,2017-07-01,2017,7,Saturday,1
1674,2017-09-09,2017,9,Saturday,1
1678,2015-05-18,2015,5,Monday,1
1679,2015-05-31,2015,5,Sunday,1
1680,2018-01-12,2018,1,Friday,1
1681,2018-01-13,2018,1,Saturday,1
1683,2015-01-21,2015,1,Wednesday,1
1684,2016-08-21,2016,8,Sunday,1
1687,2017-03-07,2017,3,Tuesday,1
1688,2015-08-04,2015,8,Tuesday,1
1692,2015-05-11,2015,5,Monday,1
1694,2018-02-10,2018,2,Saturday,1
1695,2016-01-02,2016,1,Saturday,1
1696,2016-06-10,2016,6,Friday,1
1697,2015-09-30,2015,9,Wednesday,1
1698,2016-11-13,2016,11,Sunday,1
1699,2014-12-01,2014,12,Monday,1
1700,2014-12-31,2014,12,Wednesday,1
1703,2016-06-19,2016,6,Sunday,1
1704,2016-07-08,2016,7,Friday,1
1705,2015-01-28,2015,1,Wednesday,1
1706,2016-09-24,2016,9,Saturday,1
1707,2016-08-16,2016,8,Tuesday,1
1709,2016-05-16,2016,5,Monday,1
1710,2016-08-09,2016,8,Tuesday,1
1711,2016-09-14,2016,9,Wednesday,1
1712,2015-06-13,2015,6,Saturday,1
1713,2016-01-18,2016,1,Monday,1
1717,2015-07-21,2015,7,Tuesday,1
1719,2016-10-10,2016,10,Monday,1
1720,2017-08-25,2017,8,Friday,1
1721,2016-07-23,2016,7,Saturday,1
1722,2017-10-24,2017,10,Tuesday,1
1723,2016-02-11,2016,2,Thursday,1
1724,2015-08-26,2015,8,Wednesday,1
1725,2018-03-03,2018,3,Saturday,1
1728,2015-04-22,2015,4,Wednesday,1
